max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,path,fee,duration(min),root_dist(km)
1256.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"방화대로,마곡중앙5로,마곡서1로",3800,4,0.758
1780.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"방화대로,마곡중앙5로,마곡서로",3800,6,1.8
1269.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙3로,마곡서로,-",3800,6,1.6
924.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"마곡서로,마곡중앙3로,-",3800,1,0.28200000000000003
2501.715576,0,0,4,0,4,0,0,0,0,0,0,0,0,0,"공항대로13길,공항대로,-",3800,1,0.211
3318.86,0,0,0,70,0,0,0,0,0,0,0,0,0,0,"개화동로,-,-",3800,2,0.969
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"개화동로,-,-",3800,2,1.7
1759.26,0,0,0,6,0,0,0,0,0,0,0,0,0,0,"마곡중앙4로,마곡중앙로,-",3800,2,0.47100000000000003
2317.12,42,19,20,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙1로,마곡중앙1로,마곡중앙로",3800,5,0.989
1597.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항대로36가길,마곡동로,마곡중앙8로",3800,7,1.6
2046.26,8,3,13,24,12,14,0,0,0,0,0,0,0,0,"강서로,허준로,올림픽대로",6300,12,4.9
0.04,120,61,180,121,240,121,0,0,0,0,0,0,0,0,"공항로,남해고속도로,만덕대로",20270,28,16
3621.42,275,180,68,55,0,0,0,0,0,0,0,0,0,0,"양천로30길,양천로,강서로",4900,10,2.7
4315.31,101,217,199,122,198,130,359,413,321,178,66,80,0,0,"인천국제공항고속도로,영종해안북로,영종해안북로",45750,44,48
1870.0,30,36,12,12,0,0,0,0,0,0,0,0,0,0,"용유서로,을왕로,-",3800,2,0.544
3254.22,73,117,75,252,282,289,307,419,399,277,27,0,0,0,"영종해안북로,인천국제공항고속도로,권율대로",47230,46,57
